run_tag,scenario,mode,metric,n,mean,stdev,median,p90,p95
prod-fbe3c82-bundle,html,bundle,slowest_leg_s,20.0,3.059690741763916,1.9698026880688728,2.267428145627491,7.151690600626171,7.454060381196905
prod-fbe3c82-bundle,research,bundle,wall_s,20.0,1.7769050771254116,0.26552579773301005,1.7298775415401906,1.9429222085047513,1.9995347142103135
prod-fbe3c82-bundle,research,bundle,slowest_leg_s,20.0,1.7764274958753958,0.2655247315615996,1.7293940625386313,1.942398296413012,1.999041278834921
prod-fbe3c82-bundle,alerts,bundle,wall_s,20.0,1.2091555124847218,0.08057068603993957,1.212075249874033,1.3100849798182026,1.316662371228449
prod-fbe3c82-bundle,alerts,bundle,slowest_leg_s,20.0,1.2087027604458853,0.08056433289146929,1.2116508334875107,1.3096466079819948,1.316188351798337
prod-fbe3c82-bundle,global,bundle,wall_s,20.0,2.266726447956171,0.38570641684713153,2.151472333469428,2.5552332791965457,2.640840131673031
prod-fbe3c82-bundle,global,bundle,slowest_leg_s,20.0,2.2653149415738882,0.3856984623596652,2.149770561954938,2.554006367130205,2.6396444014739253
prod-fbe3c82-bundle,regulatory,bundle,wall_s,20.0,3.1792259958921933,0.40480993667459525,3.128348062513396,3.6611124248942364,3.82468144367449
prod-fbe3c82-bundle,regulatory,bundle,slowest_leg_s,20.0,3.177503845910542,0.40473559962094824,3.126604229561053,3.6597829709062357,3.822332327766344
prod-fbe3c82-bundle,imaging,bundle,wall_s,20.0,10.458490704174618,9.324836879642989,5.8610896250465885,17.73894292479384,35.539339974918406
prod-fbe3c82-bundle,imaging,bundle,slowest_leg_s,20.0,10.456003147899173,9.324907986754866,5.858956792042591,17.736759145674323,35.536965572636106
prod-fbe3c82-bundle,scouting,bundle,wall_s,20.0,2.882774402119685,0.26982952964091195,2.8644191245548427,3.2961776797659694,3.325844881683588
prod-fbe3c82-bundle,scouting,bundle,slowest_leg_s,20.0,2.8822836561477745,0.26982667316382186,2.8638209993951023,3.2956861291779207,3.3253742201020944
prod-fbe3c82-isolated,/,isolated,request_s,12.0,2.4599920173253245,0.4916214537885148,2.3098245000001043,2.6794922789325937,3.2617124687763854
prod-fbe3c82-isolated,/api/research/history?limit=50,isolated,request_s,12.0,1.966369343708114,0.4028638562991999,1.7912388124968857,2.3096756214043124,2.654978246171958
prod-fbe3c82-isolated,/api/alerts,isolated,request_s,12.0,1.5562103019134763,0.10762626797899107,1.5308544370345771,1.6990389080019668,1.7442635267507285
prod-fbe3c82-isolated,/api/news-intel/facets,isolated,request_s,12.0,1.2207705626885097,0.10211999740772204,1.2139572920277715,1.35259502469562,1.3813409395399503
prod-fbe3c82-isolated,/api/news-intel/stats,isolated,request_s,12.0,1.9551791284854214,0.29725951564466097,1.8175426040543243,2.323031162819825,2.4181709104566833
prod-fbe3c82-isolated,/api/news-intel/articles,isolated,request_s,12.0,1.9591328752382349,0.3128956933734924,1.8906777498777956,2.1575422669295223,2.458310392207931
prod-fbe3c82-isolated,/api/market/latest,isolated,request_s,12.0,1.5081470520817675,0.24780999074657425,1.4239317500032485,1.7927417461527513,1.9363778854953124
prod-fbe3c82-isolated,/api/regulatory/events?limit=20,isolated,request_s,12.0,2.7783955347646647,0.2702516597525448,2.796369520947337,3.0603128378046676,3.181263022974599
prod-fbe3c82-isolated,/api/regulatory/provenance,isolated,request_s,12.0,2.349397781130392,0.38874243636353634,2.2526961255352944,2.4864903909154235,2.9619525660295034
prod-fbe3c82-isolated,/api/regulatory/rps?limit=10,isolated,request_s,12.0,3.415413722182469,0.5462430235605498,3.371041249949485,4.15060740057379,4.171368308551609
prod-fbe3c82-isolated,/api/regulatory/eia/capacity?limit=10,isolated,request_s,12.0,2.5682821597050256,1.1053454129675448,2.2892355205258355,2.3993140001548454,4.047535043861714
prod-fbe3c82-isolated,/api/regulatory/eia/generation?limit=10,isolated,request_s,12.0,2.2944791216868907,0.2983752497509239,2.3133611875819042,2.4629473918350415,2.7250406316132283
prod-fbe3c82-isolated,/api/regulatory/rates?limit=10,isolated,request_s,12.0,2.259545642475132,0.43508929238971467,2.1109500625170767,2.4516269003041087,2.9436982418876134
prod-fbe3c82-isolated,/api/imaging/config,isolated,request_s,12.0,1.0783937152203482,0.07189013976414543,1.0841066874563694,1.1444650711491704,1.1814564541913568
prod-fbe3c82-isolated,/api/pipeline/assets,isolated,request_s,12.0,2.843374694522936,0.27166063847281,2.7792638749815524,3.148758978978731,3.257170170696918
prod-fbe3c82-isolated,/api/scouting/watchlist,isolated,request_s,12.0,2.898610631838286,0.41908495836352666,2.80865735351108,2.9956180999986826,3.5121293686446724
prod-fbe3c82-isolated,/api/imaging/deposits,isolated,request_s,12.0,6.894627583407176,8.008620024957716,4.8432245624717325,5.666797541920095,17.549710591649617
prod-fbe3c82-isolated,/api/imaging/concessions,isolated,request_s,12.0,2.6815460902289487,0.19912214088564067,2.60723620839417,2.9254840459907427,3.0175083498936144
prod-fbe3c82-isolated,/api/imaging/generation,isolated,request_s,12.0,6.305051562259905,5.186105242477821,4.670789645519108,7.589216178422795,14.4359109347104
prod-fbe3c82-isolated,/api/scouting/items?type=greenfield,isolated,request_s,12.0,2.756266993082439,0.27131240535888074,2.7187166039366275,3.05776076647453,3.1410946269053963
